VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Afghanistan,2019,53.19106827,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Afghanistan,2020,51.54952642,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Afghanistan,2021,50.10042279,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Albania,2019,1402.283948,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Albania,2020,1405.724543,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Albania,2021,1411.702064,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Algeria,2019,201.8305989,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Algeria,2020,198.3640857,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Algeria,2021,195.102903,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Angola,2019,291.9370179,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Angola,2020,282.5497392,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Angola,2021,273.7442577,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Antigua and Barbuda,2019,54.50676857,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Antigua and Barbuda,2020,54.18501252,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Antigua and Barbuda,2021,53.86241002,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Argentina,2019,2940.268992,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Argentina,2020,2921.302325,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Argentina,2021,2905.769028,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Armenia,2019,491.7070895,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Armenia,2020,494.3349178,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Armenia,2021,496.9268793,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Australia,2019,3067.625449,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Australia,2020,3030.235507,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Australia,2021,3000.888581,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Austria,2019,239.6074748,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Austria,2020,238.8586962,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Austria,2021,238.475728,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Azerbaijan,2019,2105.23991,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Azerbaijan,2020,2094.555433,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Azerbaijan,2021,2088.860342,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bahrain,2019,0,m3/inhab,I,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bahrain,2020,0,m3/inhab,I,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bahrain,2021,0,m3/inhab,I,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bangladesh,2019,39.13211601,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bangladesh,2020,38.6869144,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bangladesh,2021,38.24482392,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Belarus,2019,320.4475184,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Belarus,2020,321.7857239,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Belarus,2021,323.6527407,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Belgium,2019,12.53630577,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Belgium,2020,12.48084519,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Belgium,2021,12.42742166,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Belize,2019,312.7770853,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Belize,2020,308.1628984,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Belize,2021,304.2264225,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Benin,2019,1.912054601,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Benin,2020,1.858717977,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Benin,2021,1.808124171,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bhutan,2019,0,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bhutan,2020,0,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bhutan,2021,0,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bolivia (Plurinational State of),2019,50.52639757,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bolivia (Plurinational State of),2020,49.85398992,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bolivia (Plurinational State of),2021,49.26252571,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bosnia and Herzegovina,2019,866.602335,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bosnia and Herzegovina,2020,877.6500291,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bosnia and Herzegovina,2021,890.3854332,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Botswana,2019,443.934917,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Botswana,2020,435.7933272,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Botswana,2021,428.7185673,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Brazil,2019,3307.330161,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Brazil,2020,3285.403578,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Brazil,2021,3268.083066,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Brunei Darussalam,2019,102.7581452,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Brunei Darussalam,2020,101.9027676,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Brunei Darussalam,2021,101.0680935,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bulgaria,2019,924.2637963,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bulgaria,2020,933.9785863,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Bulgaria,2021,946.6344693,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Burkina Faso,2019,254.7567627,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Burkina Faso,2020,247.9981637,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Burkina Faso,2021,241.5116187,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cabo Verde,2019,0,m3/inhab,I,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cabo Verde,2020,0,m3/inhab,I,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cabo Verde,2021,0,m3/inhab,I,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cambodia,2019,0.061698894,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cambodia,2020,0.060987287,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cambodia,2021,0.060280826,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cameroon,2019,605.4773304,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cameroon,2020,589.2783109,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cameroon,2021,573.9489139,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Canada,2019,22426.64578,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Canada,2020,22209.93565,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Canada,2021,22054.91902,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Chile,2019,694.1280187,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Chile,2020,684.7473733,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Chile,2021,677.972362,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,China,2019,571.2334011,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,China,2020,570.0073874,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,China,2021,569.6140428,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Colombia,2019,224.8040076,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Colombia,2020,221.523333,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Colombia,2021,219.003939,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Congo,2019,1.615586315,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Congo,2020,1.578345382,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Congo,2021,1.542203425,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Costa Rica,2019,392.6949422,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Costa Rica,2020,389.7382544,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Costa Rica,2021,387.40525,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Croatia,2019,232.94377,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Croatia,2020,234.8134636,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Croatia,2021,236.9379343,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cuba,2019,500.3345941,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cuba,2020,501.0429444,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cuba,2021,503.0159806,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cyprus,2019,271.5626821,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cyprus,2020,269.6533518,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Cyprus,2021,268.2118779,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Czechia,2019,302.205465,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Czechia,2020,302.3752931,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Czechia,2021,302.9564681,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Côte d'Ivoire,2019,1424.374313,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Côte d'Ivoire,2020,1389.086667,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Côte d'Ivoire,2021,1355.39568,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Democratic People's Republic of Korea,2019,824.1507494,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Democratic People's Republic of Korea,2020,820.5815436,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Democratic People's Republic of Korea,2021,817.2817023,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Democratic Republic of the Congo,2019,0.588030573,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Democratic Republic of the Congo,2020,0.569372089,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Democratic Republic of the Congo,2021,0.551316401,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Denmark,2019,3.450728259,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Denmark,2020,3.433098607,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Denmark,2021,3.416327311,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Dominican Republic,2019,208.2084698,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Dominican Republic,2020,205.979019,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Dominican Republic,2021,203.7889801,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ecuador,2019,443.4914269,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ecuador,2020,437.3174776,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ecuador,2021,432.1785405,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Egypt,2019,1592.490725,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Egypt,2020,1565.128593,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Egypt,2021,1539.386795,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,El Salvador,2019,617.6538167,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,El Salvador,2020,616.4255234,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,El Salvador,2021,614.332817,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Eritrea,2019,12.60711475,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Eritrea,2020,12.40484742,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Eritrea,2021,12.18403276,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Estonia,2019,137.5242174,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Estonia,2020,137.2754324,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Estonia,2021,137.3521959,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Eswatini,2019,500.1568895,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Eswatini,2020,495.4792043,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Eswatini,2021,490.6518736,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ethiopia,2019,275.8835973,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ethiopia,2020,268.6556469,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ethiopia,2021,261.7493178,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Fiji,2019,144.8460203,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Fiji,2020,144.5380489,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Fiji,2021,143.883367,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Finland,2019,3369.170577,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Finland,2020,3364.338124,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Finland,2021,3360.373353,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,France,2019,154.9897104,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,France,2020,154.796709,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,France,2021,154.6734333,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Gabon,2019,98.09232717,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Gabon,2020,95.96204788,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Gabon,2021,93.96974772,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Georgia,2019,905.3490085,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Georgia,2020,906.526759,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Georgia,2021,908.4401726,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Germany,2019,48.10690837,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Germany,2020,48.00250304,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Germany,2021,47.95671197,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ghana,2019,4711.090787,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ghana,2020,4614.745789,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ghana,2021,4523.017385,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Greece,2019,1165.308496,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Greece,2020,1172.158301,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Greece,2021,1179.661984,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Grenada,2019,0.17926404,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Grenada,2020,0.177902849,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Grenada,2021,0.176550839,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guatemala,2019,27.11510254,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guatemala,2020,26.71471765,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guatemala,2021,26.34185517,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guinea,2019,142.6514802,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guinea,2020,139.1123602,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guinea,2021,135.7532339,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guinea-Bissau,2019,0,m3/inhab,I,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guinea-Bissau,2020,0,m3/inhab,I,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guinea-Bissau,2021,0,m3/inhab,I,False
