,etr,rn,gr,lst,soilT,airT,sm,wind,rh
8/19/2015 20:00,0.442,0,1.099,285.593,291.693,286.241,0.334,2.24,79.322
8/20/2015 20:00,1.276,4.941,11.896,286.842,288.314,284.192,0.321,1.893,85.835
8/21/2015 20:00,2.424,8.381,18.605,288.838,288.505,286.403,0.323,2.158,73.784
8/22/2015 20:00,2.412,8.153,18.348,289.386,289.487,286.811,0.324,1.944,72.714
8/23/2015 20:00,2.412,9.595,18.414,290.717,290.554,286.368,0.325,2.719,81.58
8/24/2015 20:00,2.125,7.518,14.783,290.321,290.766,286.281,0.322,1.945,76.979
8/25/2015 20:00,2.703,8.061,19.206,290.149,290.156,288.069,0.319,2.001,66.295
8/26/2015 20:00,4.083,7.325,19.851,293.4,291.718,293.142,0.322,2.114,38.175
8/27/2015 20:00,2.446,8.355,20.035,290.583,291.385,287.126,0.316,2.59,76.129
8/28/2015 20:00,2.262,9.152,17.939,290.361,291.021,286.16,0.312,2.122,82.862
8/29/2015 20:00,1.805,6.027,13.916,290.775,291.327,287.083,0.313,1.711,78.487
8/30/2015 20:00,2.065,7.97,15.654,291.077,291.308,286.552,0.313,1.687,82.141
8/31/2015 20:00,2.114,7.239,14.719,291.908,291.961,287.365,0.315,1.67,76.596
9/1/2015 20:00,2.787,10.025,20.012,292.566,292.168,287.642,0.315,2.35,75.943
9/2/2015 20:00,2.322,8.23,16.439,292.407,292.563,287.417,0.314,1.984,77.804
9/3/2015 20:00,2.337,7.94,15.944,292.479,292.66,287.642,0.313,1.976,75.946
9/4/2015 20:00,2.227,8.28,15.662,291.578,291.891,286.449,0.309,2.211,79.56
9/5/2015 20:00,2.615,7.755,15.643,292.722,292.589,287.927,0.311,2.346,69.161
9/6/2015 21:00,3.125,10.305,21.154,292.454,292.672,288.149,0.31,1.909,66.875
9/7/2015 21:00,2.786,9.922,21.447,290.925,291.801,287.246,0.304,2.234,74.089
