Unnamed: 0,etr,rn,gr,lst,soilT,airT,sm20,wind,rh,rain
2014-11-13,1.649,0.111,1.053,297.099,296.358,296.708,0.268,1.614,53.013,0.0
2014-11-14,7.922,28.987,25.218,293.991,292.426,292.661,0.285,0.949,64.91,0.0
2014-11-15,8.529,28.264,20.048,298.086,295.099,296.197,0.289,1.095,55.763,0.0
2014-11-16,8.084,28.116,18.987,296.464,295.415,294.468,0.274,1.462,61.919,0.0
2014-11-17,1.118,2.769,8.437,290.628,292.786,289.646,0.269,1.075,76.0,0.0
2014-11-18,7.063,21.876,9.436,296.763,296.528,294.414,0.263,1.746,48.265,0.0
2014-11-19,7.956,28.84,18.905,293.187,292.538,291.482,0.283,1.334,52.87,0.0
2014-11-20,8.379,30.124,21.012,293.759,292.828,292.012,0.287,1.034,50.553,0.0
2014-11-21,6.837,23.313,21.002,294.743,292.353,292.998,0.271,1.014,51.443,0.0
2014-11-22,4.148,14.027,17.822,292.227,291.735,290.491,0.266,1.143,59.6,0.0
2014-11-23,7.626,26.644,15.699,294.144,293.439,291.944,0.261,1.732,51.735,0.0
2014-11-24,6.313,22.849,18.856,292.079,292.306,290.613,0.256,0.855,52.38,0.0
2014-11-25,9.013,30.025,17.809,296.272,294.096,294.31,0.25,1.322,44.038,0.0
2014-11-26,6.052,19.878,17.792,295.56,291.96,293.43,0.294,1.284,55.031,0.0
2014-11-27,5.281,18.399,18.807,293.517,290.779,291.625,0.278,1.259,61.971,9.484
2014-11-28,0.587,0.0,4.185,289.245,290.053,289.1,0.272,0.872,64.02,0.0
2014-11-29,6.275,24.551,12.469,291.109,291.932,289.161,0.292,1.533,64.568,18.968
2014-11-30,8.145,30.242,17.727,293.762,292.22,291.776,0.279,0.999,61.358,0.0
2014-12-01,8.709,30.286,20.908,296.467,293.323,294.717,0.297,0.925,59.41,0.0
2014-12-02,9.374,30.193,17.826,299.324,294.909,297.283,0.281,1.08,49.369,0.0
2014-12-03,9.041,29.984,16.824,298.648,295.499,296.349,0.271,1.476,57.001,0.0
2014-12-04,2.421,8.315,13.672,291.29,292.518,289.672,0.268,1.385,77.34,0.0
2014-12-05,3.279,9.976,3.137,293.989,290.611,289.543,0.267,1.367,57.031,0.0
2014-12-06,9.502,28.148,15.718,300.709,294.233,294.207,0.264,1.173,,0.0
2014-12-07,10.284,29.782,18.947,301.912,294.883,296.194,0.277,1.195,,0.0
2014-12-08,10.462,29.545,17.967,299.443,295.977,295.212,0.281,1.792,10.21,0.0
2014-12-09,4.724,11.451,12.654,295.128,294.752,291.51,0.27,1.006,,0.0
2014-12-10,4.188,8.577,4.204,297.205,292.107,292.495,0.267,1.144,,0.0
2014-12-11,8.162,20.283,9.47,301.307,296.391,299.193,0.259,1.366,16.259,0.0
2014-12-12,9.82,29.133,25.285,301.376,293.82,292.921,0.256,0.945,,0.0
2014-12-13,8.509,25.24,25.236,298.248,292.598,290.073,0.284,0.943,,0.0
2014-12-14,9.349,28.272,25.187,299.682,292.205,289.492,0.276,1.059,,0.0
2014-12-15,9.896,30.087,25.223,301.047,292.794,290.547,0.267,0.987,,0.0
2014-12-16,10.742,31.612,25.262,301.434,293.493,292.209,0.26,1.07,,0.0
2014-12-17,10.911,31.631,25.291,302.995,293.834,292.893,0.253,1.023,,0.0
2014-12-18,10.64,31.482,25.337,300.653,293.058,291.099,0.267,1.098,,0.0
2014-12-19,3.752,4.626,25.249,,289.97,285.302,0.305,0.845,,0.0
2014-12-20,7.713,22.785,25.061,295.083,290.232,286.577,0.286,1.026,,12.874
2014-12-21,9.795,31.971,25.1,298.024,290.182,286.668,0.274,1.107,,0.0
2014-12-22,10.395,32.537,25.12,302.154,291.381,290.226,0.267,0.956,,0.0
2014-12-23,10.612,31.84,25.208,301.367,293.471,292.325,0.261,1.003,,0.0
2014-12-24,10.543,31.337,25.21,302.509,293.562,293.001,0.285,0.923,,0.0
2014-12-25,10.537,31.452,25.237,302.657,293.697,293.67,0.278,0.826,,0.0
2014-12-26,10.728,31.273,25.311,302.149,294.44,293.734,0.267,0.922,,0.0
2014-12-27,10.993,31.461,25.379,302.852,294.732,293.46,0.284,1.035,,0.0
2014-12-28,10.472,29.485,25.401,302.506,294.73,293.249,0.278,1.021,,0.0
2014-12-29,5.966,14.189,25.337,,292.378,289.75,0.268,0.824,,0.0
2014-12-30,8.839,23.067,25.245,299.959,292.123,291.377,0.264,1.117,,0.0
2014-12-31,11.398,31.605,25.236,300.854,292.96,290.554,0.259,1.588,,0.0
2015-01-01,10.314,30.645,25.357,303.02,293.54,291.958,0.279,0.854,,0.0
2015-01-02,10.915,31.489,25.417,304.342,294.731,293.977,0.28,0.865,,0.0
2015-01-03,10.929,31.511,25.39,305.028,294.951,294.95,0.267,0.787,,0.0
2015-01-04,10.916,31.076,25.421,303.377,295.645,294.101,0.259,0.927,,0.0
2015-01-05,10.808,29.745,25.426,303.978,295.403,292.833,0.252,1.099,,0.0
2015-01-06,5.171,7.547,18.029,,293.515,289.262,0.248,0.979,,0.0
