FECHA_GRUPO,ACUMULADO (msnm),FECHA_ACUMULADO,ACUMULADO (hm3),FECHA_ACUMULADO
1/1/2015,478.98,1/1/2015 8:00,274.636,1/1/2015 8:00
2/1/2015,479.06,2/1/2015 8:00,275.825,2/1/2015 8:00
3/1/2015,479.11,3/1/2015 8:00,276.571,3/1/2015 8:00
4/1/2015,479.13,4/1/2015 8:00,276.869,4/1/2015 8:00
5/1/2015,479.19,5/1/2015 8:00,277.765,5/1/2015 8:00
6/1/2015,479.23,6/1/2015 8:00,278.364,6/1/2015 8:00
7/1/2015,479.26,7/1/2015 8:00,278.814,7/1/2015 8:00
8/1/2015,479.27,8/1/2015 8:00,278.964,8/1/2015 8:00
9/1/2015,479.27,9/1/2015 8:00,278.964,9/1/2015 8:00
10/1/2015,479.29,10/1/2015 8:00,279.264,10/1/2015 8:00
11/1/2015,479.29,11/1/2015 8:00,279.264,11/1/2015 8:00
12/1/2015,479.32,12/1/2015 8:00,279.715,12/1/2015 8:00
13/01/2015,479.34,13/01/2015 08:00,280.015,13/01/2015 08:00
14/01/2015,479.35,14/01/2015 08:00,280.166,14/01/2015 08:00
15/01/2015,479.35,15/01/2015 08:00,280.166,15/01/2015 08:00
16/01/2015,479.35,16/01/2015 08:00,280.166,16/01/2015 08:00
17/01/2015,479.48,17/01/2015 08:00,282.126,17/01/2015 08:00
18/01/2015,479.59,18/01/2015 08:00,283.792,18/01/2015 08:00
19/01/2015,479.67,19/01/2015 08:00,285.008,19/01/2015 08:00
20/01/2015,479.75,20/01/2015 08:00,286.228,20/01/2015 08:00
21/01/2015,479.81,21/01/2015 08:00,287.144,21/01/2015 08:00
22/01/2015,479.88,22/01/2015 08:00,288.217,22/01/2015 08:00
23/01/2015,479.93,23/01/2015 08:00,288.984,23/01/2015 08:00
24/01/2015,479.98,24/01/2015 08:00,289.753,24/01/2015 08:00
25/01/2015,480.03,25/01/2015 08:00,290.524,25/01/2015 08:00
26/01/2015,480.08,26/01/2015 08:00,291.296,26/01/2015 08:00
27/01/2015,480.13,27/01/2015 08:00,292.069,27/01/2015 08:00
28/01/2015,480.19,28/01/2015 08:00,292.998,28/01/2015 08:00
29/01/2015,480.27,29/01/2015 08:00,294.241,29/01/2015 08:00
30/01/2015,480.43,30/01/2015 08:00,296.738,30/01/2015 08:00
31/01/2015,481.12,31/01/2015 08:00,307.673,31/01/2015 08:00
1/2/2015,481.56,1/2/2015 8:00,314.793,1/2/2015 8:00
2/2/2015,481.82,2/2/2015 8:00,319.055,2/2/2015 8:00
3/2/2015,482,3/2/2015 8:00,322.03,3/2/2015 8:00
4/2/2015,482.17,4/2/2015 8:00,324.858,4/2/2015 8:00
5/2/2015,482.29,5/2/2015 8:00,326.865,5/2/2015 8:00
6/2/2015,482.41,6/2/2015 8:00,328.882,6/2/2015 8:00
7/2/2015,482.52,7/2/2015 8:00,330.738,7/2/2015 8:00
8/2/2015,482.64,8/2/2015 8:00,332.771,8/2/2015 8:00
9/2/2015,482.74,9/2/2015 8:00,334.473,9/2/2015 8:00
10/2/2015,482.86,10/2/2015 8:00,336.523,10/2/2015 8:00
11/2/2015,482.98,11/2/2015 8:00,338.583,11/2/2015 8:00
12/2/2015,483.12,12/2/2015 8:00,341.02,12/2/2015 8:00
13/02/2015,483.3,13/02/2015 08:00,344.122,13/02/2015 08:00
14/02/2015,483.5,14/02/2015 08:00,347.617,14/02/2015 08:00
15/02/2015,483.89,15/02/2015 08:00,354.511,15/02/2015 08:00
16/02/2015,484.55,16/02/2015 08:00,366.415,16/02/2015 08:00
17/02/2015,485.02,17/02/2015 08:00,375.079,17/02/2015 08:00
18/02/2015,485.43,18/02/2015 08:00,382.767,18/02/2015 08:00
19/02/2015,485.39,19/02/2015 08:00,382.011,19/02/2015 08:00
20/02/2015,485.23,20/02/2015 08:00,379.001,20/02/2015 08:00
21/02/2015,485.21,21/02/2015 08:00,378.626,21/02/2015 08:00
22/02/2015,485.42,22/02/2015 08:00,382.578,22/02/2015 08:00
23/02/2015,485.48,23/02/2015 08:00,383.713,23/02/2015 08:00
24/02/2015,485.11,24/02/2015 08:00,376.756,24/02/2015 08:00
25/02/2015,484.35,25/02/2015 08:00,362.776,25/02/2015 08:00
26/02/2015,485.25,26/02/2015 08:00,379.376,26/02/2015 08:00
27/02/2015,486.71,27/02/2015 08:00,407.584,27/02/2015 08:00
28/02/2015,486.82,28/02/2015 08:00,409.777,28/02/2015 08:00
1/3/2015,486.15,1/3/2015 8:00,396.572,1/3/2015 8:00
2/3/2015,485.75,2/3/2015 8:00,388.854,2/3/2015 8:00
3/3/2015,485.59,3/3/2015 8:00,385.801,3/3/2015 8:00
4/3/2015,485.23,4/3/2015 8:00,379.001,4/3/2015 8:00
5/3/2015,484.74,5/3/2015 8:00,369.898,5/3/2015 8:00
6/3/2015,484.62,6/3/2015 8:00,367.695,6/3/2015 8:00
7/3/2015,484.59,7/3/2015 8:00,367.146,7/3/2015 8:00
8/3/2015,484.49,8/3/2015 8:00,365.32,8/3/2015 8:00
9/3/2015,484.52,9/3/2015 8:00,365.867,9/3/2015 8:00
10/3/2015,484.65,10/3/2015 8:00,368.245,10/3/2015 8:00
11/3/2015,484.77,11/3/2015 8:00,370.451,11/3/2015 8:00
12/3/2015,484.89,12/3/2015 8:00,372.666,12/3/2015 8:00
13/03/2015,484.73,13/03/2015 08:00,369.714,13/03/2015 08:00
14/03/2015,484.48,14/03/2015 08:00,365.138,14/03/2015 08:00
15/03/2015,484.41,15/03/2015 08:00,363.865,15/03/2015 08:00
16/03/2015,484.27,16/03/2015 08:00,361.328,16/03/2015 08:00
17/03/2015,484.24,17/03/2015 08:00,360.786,17/03/2015 08:00
18/03/2015,484.23,18/03/2015 08:00,360.606,18/03/2015 08:00
19/03/2015,484.24,19/03/2015 08:00,360.786,19/03/2015 08:00
20/03/2015,484.27,20/03/2015 08:00,361.328,20/03/2015 08:00
21/03/2015,484.35,21/03/2015 08:00,362.776,21/03/2015 08:00
22/03/2015,484.47,22/03/2015 08:00,364.956,22/03/2015 08:00
23/03/2015,484.62,23/03/2015 08:00,367.695,23/03/2015 08:00
24/03/2015,484.89,24/03/2015 08:00,372.666,24/03/2015 08:00
25/03/2015,485.11,25/03/2015 08:00,376.756,25/03/2015 08:00
26/03/2015,485.15,26/03/2015 08:00,377.503,26/03/2015 08:00
27/03/2015,484.88,27/03/2015 08:00,372.481,27/03/2015 08:00
28/03/2015,484.84,28/03/2015 08:00,371.742,28/03/2015 08:00
29/03/2015,485.13,29/03/2015 08:00,377.129,29/03/2015 08:00
30/03/2015,485.27,30/03/2015 08:00,379.752,30/03/2015 08:00
31/03/2015,485.1,31/03/2015 08:00,376.569,31/03/2015 08:00
1/4/2015,484.96,1/4/2015 8:00,373.964,1/4/2015 8:00
2/4/2015,484.78,2/4/2015 8:00,370.635,2/4/2015 8:00
3/4/2015,484.83,3/4/2015 8:00,371.557,3/4/2015 8:00
4/4/2015,484.89,4/4/2015 8:00,372.666,4/4/2015 8:00
5/4/2015,484.95,5/4/2015 8:00,373.778,5/4/2015 8:00
6/4/2015,485,6/4/2015 8:00,374.707,6/4/2015 8:00
7/4/2015,485.04,7/4/2015 8:00,375.451,7/4/2015 8:00
8/4/2015,485.06,8/4/2015 8:00,375.823,8/4/2015 8:00
9/4/2015,485.07,9/4/2015 8:00,376.01,9/4/2015 8:00
10/4/2015,485.06,10/4/2015 8:00,375.823,10/4/2015 8:00
11/4/2015,485.04,11/4/2015 8:00,375.451,11/4/2015 8:00
12/4/2015,485.02,12/4/2015 8:00,375.079,12/4/2015 8:00
13/04/2015,485.02,13/04/2015 08:00,375.079,13/04/2015 08:00
14/04/2015,485.01,14/04/2015 08:00,374.893,14/04/2015 08:00
15/04/2015,484.99,15/04/2015 08:00,374.521,15/04/2015 08:00
16/04/2015,485,16/04/2015 08:00,374.707,16/04/2015 08:00
17/04/2015,485.06,17/04/2015 08:00,375.823,17/04/2015 08:00
18/04/2015,485.12,18/04/2015 08:00,376.942,18/04/2015 08:00
19/04/2015,485.25,19/04/2015 08:00,379.376,19/04/2015 08:00
20/04/2015,485.4,20/04/2015 08:00,382.2,20/04/2015 08:00
21/04/2015,485.48,21/04/2015 08:00,383.713,21/04/2015 08:00
22/04/2015,485.52,22/04/2015 08:00,384.471,22/04/2015 08:00
23/04/2015,485.56,23/04/2015 08:00,385.231,23/04/2015 08:00
24/04/2015,485.62,24/04/2015 08:00,386.372,24/04/2015 08:00
25/04/2015,485.69,25/04/2015 08:00,387.707,25/04/2015 08:00
26/04/2015,485.74,26/04/2015 08:00,388.663,26/04/2015 08:00
27/04/2015,485.94,27/04/2015 08:00,392.505,27/04/2015 08:00
28/04/2015,486.3,28/04/2015 08:00,399.497,28/04/2015 08:00
29/04/2015,486.49,29/04/2015 08:00,403.228,29/04/2015 08:00
30/04/2015,486.58,30/04/2015 08:00,405.006,30/04/2015 08:00
1/5/2015,486.63,1/5/2015 8:00,405.996,1/5/2015 8:00
2/5/2015,486.72,2/5/2015 8:00,407.783,2/5/2015 8:00
3/5/2015,486.83,3/5/2015 8:00,409.976,3/5/2015 8:00
4/5/2015,486.95,4/5/2015 8:00,412.38,4/5/2015 8:00
5/5/2015,486.99,5/5/2015 8:00,413.184,5/5/2015 8:00
6/5/2015,486.94,6/5/2015 8:00,412.179,6/5/2015 8:00
7/5/2015,486.85,7/5/2015 8:00,410.376,7/5/2015 8:00
8/5/2015,486.79,8/5/2015 8:00,409.178,8/5/2015 8:00
9/5/2015,486.73,9/5/2015 8:00,407.982,9/5/2015 8:00
10/5/2015,486.67,10/5/2015 8:00,406.789,10/5/2015 8:00
11/5/2015,486.59,11/5/2015 8:00,405.204,11/5/2015 8:00
12/5/2015,486.51,12/5/2015 8:00,403.623,12/5/2015 8:00
13/05/2015,486.43,13/05/2015 08:00,402.047,13/05/2015 08:00
14/05/2015,486.36,14/05/2015 08:00,400.673,14/05/2015 08:00
15/05/2015,486.28,15/05/2015 08:00,399.106,15/05/2015 08:00
16/05/2015,486.2,16/05/2015 08:00,397.545,16/05/2015 08:00
17/05/2015,486.1,17/05/2015 08:00,395.6,17/05/2015 08:00
18/05/2015,485.98,18/05/2015 08:00,393.277,18/05/2015 08:00
19/05/2015,485.88,19/05/2015 08:00,391.349,19/05/2015 08:00
20/05/2015,485.77,20/05/2015 08:00,389.237,20/05/2015 08:00
