# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-11-08 07:47:43 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07229445 Stanley Draper Lake near Oklahoma City, OK
# -----------------------------------------------------------------------------------
#
# Data provided for site 07229445
#            TS   parameter     statistic     Description
#        111413       00054     30800     Reservoir storage, acre-feet (Observation at 08:00 AM)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	111413_00054_30800	111413_00054_30800_cd
5s	15s	20d	14n	10s
USGS	07229445	1999-10-01	90700	A
USGS	07229445	1999-10-02	90600	A
USGS	07229445	1999-10-03	90600	A:e
USGS	07229445	1999-10-04	90600	A:e
USGS	07229445	1999-10-05	90600	A
USGS	07229445	1999-10-06	90500	A
USGS	07229445	1999-10-07	90600	A:e
USGS	07229445	1999-10-08	90600	A:e
USGS	07229445	1999-10-09	90600	A:e
USGS	07229445	1999-10-10	90400	A:e
USGS	07229445	1999-10-11	90300	A:e
USGS	07229445	1999-10-12	90200	A:e
USGS	07229445	1999-10-13	90100	A:e
USGS	07229445	1999-10-14	90000	A:e
USGS	07229445	1999-10-15	89900	A
USGS	07229445	1999-10-16	89800	A
USGS	07229445	1999-10-17	89500	A
USGS	07229445	1999-10-18	89600	A
USGS	07229445	1999-10-19	89500	A
USGS	07229445	1999-10-20	89500	A
USGS	07229445	1999-10-21	89400	A
USGS	07229445	1999-10-22	89300	A
USGS	07229445	1999-10-23	89300	A
USGS	07229445	1999-10-24	89200	A
USGS	07229445	1999-10-25	89100	A
USGS	07229445	1999-10-26	89100	A
USGS	07229445	1999-10-27	89000	A
USGS	07229445	1999-10-28	89000	A
USGS	07229445	1999-10-29	88900	A
USGS	07229445	1999-10-30	89300	A
USGS	07229445	1999-10-31	89300	A
USGS	07229445	1999-11-01	89300	A
USGS	07229445	1999-11-02	89200	A
USGS	07229445	1999-11-03	89200	A
USGS	07229445	1999-11-04	89100	A
USGS	07229445	1999-11-05	89100	A
USGS	07229445	1999-11-06	89100	A
USGS	07229445	1999-11-07	89000	A
USGS	07229445	1999-11-08	89000	A
USGS	07229445	1999-11-09	89000	A
USGS	07229445	1999-11-10	89000	A
USGS	07229445	1999-11-11	88900	A
USGS	07229445	1999-11-12	88900	A
USGS	07229445	1999-11-13	88900	A
USGS	07229445	1999-11-14	88900	A
USGS	07229445	1999-11-15	88800	A
USGS	07229445	1999-11-16	88600	A
USGS	07229445	1999-11-17	88500	A
USGS	07229445	1999-11-18	88300	A
USGS	07229445	1999-11-19	88000	A
USGS	07229445	1999-11-20	87800	A
USGS	07229445	1999-11-21	87600	A
USGS	07229445	1999-11-22	87400	A
USGS	07229445	1999-11-23	87200	A
USGS	07229445	1999-11-24	87000	A
USGS	07229445	1999-11-25	87000	A
USGS	07229445	1999-11-26	87000	A
USGS	07229445	1999-11-27	87000	A
USGS	07229445	1999-11-28	87000	A
USGS	07229445	1999-11-29	87000	A
USGS	07229445	1999-11-30	87000	A
USGS	07229445	1999-12-01	86900	A
USGS	07229445	1999-12-02	86900	A
USGS	07229445	1999-12-03	86900	A
USGS	07229445	1999-12-04	87100	A
USGS	07229445	1999-12-05	87100	A
USGS	07229445	1999-12-06	87000	A
USGS	07229445	1999-12-07	87000	A
USGS	07229445	1999-12-08	87000	A
USGS	07229445	1999-12-09	87200	A
USGS	07229445	1999-12-10	87400	A
USGS	07229445	1999-12-11	87400	A
USGS	07229445	1999-12-12	87500	A
USGS	07229445	1999-12-13	87400	A
USGS	07229445	1999-12-14	87400	A
USGS	07229445	1999-12-15	87400	A
USGS	07229445	1999-12-16	87400	A
USGS	07229445	1999-12-17	87300	A
USGS	07229445	1999-12-18	87300	A
USGS	07229445	1999-12-19	87400	A
USGS	07229445	1999-12-20	87300	A
USGS	07229445	1999-12-21	87200	A
USGS	07229445	1999-12-22	87300	A
USGS	07229445	1999-12-23	87200	A
USGS	07229445	1999-12-24	87300	A
USGS	07229445	1999-12-25	87200	A
USGS	07229445	1999-12-26	87300	A
USGS	07229445	1999-12-27	87300	A
USGS	07229445	1999-12-28	87300	A
USGS	07229445	1999-12-29	87300	A
USGS	07229445	1999-12-30	87400	A
USGS	07229445	1999-12-31	87400	A
USGS	07229445	2000-01-01	87400	A
USGS	07229445	2000-01-02	87400	A
USGS	07229445	2000-01-03	87500	A
USGS	07229445	2000-01-04	87500	A
USGS	07229445	2000-01-05	87500	A
USGS	07229445	2000-01-06	87500	A
USGS	07229445	2000-01-07	87600	A
USGS	07229445	2000-01-08	87700	A
USGS	07229445	2000-01-09	87700	A
USGS	07229445	2000-01-10	87700	A
USGS	07229445	2000-01-11	87800	A
USGS	07229445	2000-01-12	87800	A
USGS	07229445	2000-01-13	87800	A
USGS	07229445	2000-01-14	87800	A
USGS	07229445	2000-01-15	87800	A
USGS	07229445	2000-01-16	87900	A
USGS	07229445	2000-01-17	88000	A
USGS	07229445	2000-01-18	88000	A
USGS	07229445	2000-01-19	88000	A
USGS	07229445	2000-01-20	88000	A
USGS	07229445	2000-01-21	88000	A
USGS	07229445	2000-01-22	88000	A
USGS	07229445	2000-01-23	88000	A
USGS	07229445	2000-01-24	88000	A
USGS	07229445	2000-01-25	87900	A
USGS	07229445	2000-01-26	87800	A
USGS	07229445	2000-01-27	87900	A
USGS	07229445	2000-01-28	88000	A
USGS	07229445	2000-01-29	88000	A
USGS	07229445	2000-01-30	88000	A
USGS	07229445	2000-01-31	88000	A
USGS	07229445	2000-02-01	88000	A
USGS	07229445	2000-02-02	88000	A
USGS	07229445	2000-02-03	88000	A
USGS	07229445	2000-02-04	88000	A
USGS	07229445	2000-02-05	88000	A
USGS	07229445	2000-02-06	88000	A
USGS	07229445	2000-02-07	88000	A
USGS	07229445	2000-02-08	88000	A
USGS	07229445	2000-02-09	88000	A
USGS	07229445	2000-02-10	88000	A
USGS	07229445	2000-02-11	88000	A
USGS	07229445	2000-02-12	88000	A
USGS	07229445	2000-02-13	88000	A
