# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-12-27 18:58:15 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07308990 Lake Ellsworth near Elgin, OK
# -----------------------------------------------------------------------------------
#
# Data provided for site 07308990
#            TS   parameter     statistic     Description
#        111644       00054     32400     Reservoir storage, acre-feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	111644_00054_32400	111644_00054_32400_cd
5s	15s	20d	14n	10s
USGS	07308990	2010-12-01	51400	A
USGS	07308990	2010-12-02	51400	A
USGS	07308990	2010-12-03	51400	A
USGS	07308990	2010-12-04	51400	A
USGS	07308990	2010-12-05	51240	A
USGS	07308990	2010-12-06	51190	A
USGS	07308990	2010-12-07	51030	A
USGS	07308990	2010-12-08	50930	A
USGS	07308990	2010-12-09	50820	A
USGS	07308990	2010-12-10	50770	A
USGS	07308990	2010-12-11	50620	A
USGS	07308990	2010-12-12	50410	A
USGS	07308990	2010-12-13	50300	A
USGS	07308990	2010-12-14	50150	A
USGS	07308990	2010-12-15	50200	A
USGS	07308990	2010-12-16	49940	A
USGS	07308990	2010-12-17	49780	A
USGS	07308990	2010-12-18	49680	A
USGS	07308990	2010-12-19	49520	A
USGS	07308990	2010-12-20	49470	A
USGS	07308990	2010-12-21	49470	A
USGS	07308990	2010-12-22	49310	A
USGS	07308990	2010-12-23	49260	A
USGS	07308990	2010-12-24	49310	A
USGS	07308990	2010-12-25	49210	A
USGS	07308990	2010-12-26	49160	A
USGS	07308990	2010-12-27	49110	A
USGS	07308990	2010-12-28	49110	A
USGS	07308990	2010-12-29	49210	A
USGS	07308990	2010-12-30	49160	A
USGS	07308990	2010-12-31	49210	A
USGS	07308990	2011-01-01	49110	A
USGS	07308990	2011-01-02	49000	A
USGS	07308990	2011-01-03	49110	A
USGS	07308990	2011-01-04	48950	A
USGS	07308990	2011-01-05	49000	A
USGS	07308990	2011-01-06	49000	A
USGS	07308990	2011-01-07	48950	A
USGS	07308990	2011-01-08	48950	A
USGS	07308990	2011-01-09	48900	A
USGS	07308990	2011-01-10	48900	A
USGS	07308990	2011-01-11	48740	A
USGS	07308990	2011-01-12	48590	A
USGS	07308990	2011-01-13	48480	A
USGS	07308990	2011-01-14	48380	A
USGS	07308990	2011-01-15	48320	A
USGS	07308990	2011-01-16	48220	A
USGS	07308990	2011-01-17	48170	A
USGS	07308990	2011-01-18	48010	A
