Fecha,Nivel (m),Vol1_m3,Vol2_m3,%,Area,Batería,,
8/8/2012,43.6,48505872,62588675,35.0,1739,0,,
8/14/2012,44.1,58355700,74783851,43.0,2136,0,,
8/15/2012,44.5,65974671,83395190,48.0,2228,0,,
8/16/2012,44.6,69123414,86963990,50.0,2266,0,,
8/20/2012,43.0,41075479,49614170,29.3,1700,0,,
8/21/2012,44.9,76206833,95119027,55.8,2363,0,,
8/22/2012,45.2,83854105,103622221,61.7,2500,0,,
8/23/2012,45.4,88066533,108433076,64.3,2557,0,,
8/24/2012,45.5,89949853,110444448,65.8,2583,0,,
8/25/2012,45.5,91660183,112473573,67.2,2607,0,,
8/26/2012,45.6,93423993,114226951,68.3,2631,0,,
8/27/2012,45.7,95437481,116585077,69.8,2660,0,,
8/28/2012,45.7,96473883,117772835,70.8,2674,0,,
8/29/2012,45.7,96674553,118070680,71.0,2677,0,,
8/30/2012,45.7,97172965,118368888,71.0,2685,0,,
8/31/2012,45.8,97738668,119265684,71.5,2693,0,,
9/1/2012,45.8,98472057,119865359,72.2,2704,0,,
9/2/2012,45.8,99675971,121370888,73.0,2721,0,,
9/3/2012,45.8,98944295,120466484,72.1,2710,0,,
9/4/2012,45.8,98681576,120165741,72.0,2706,0,,
9/5/2012,45.8,98412187,119865359,72.0,2703,0,,
9/7/2012,45.8,98521554,119865359,72.4,2704,0,,
9/8/2012,45.8,98412224,119865359,72.0,2703,0,,
9/9/2012,45.8,99495053,121069058,72.7,2718,0,,
9/10/2012,45.8,99393725,121069058,72.4,2717,0,,
9/11/2012,45.8,99004912,120466484,72.2,2711,0,,
9/12/2012,45.8,99261134,120767590,72.7,2715,0,,
9/13/2012,45.8,98771380,120165741,72.2,2707,0,,
9/14/2012,45.8,99903752,121673081,73.0,2725,0,,
9/15/2012,45.8,99311528,120767590,73.0,2715,0,,
9/16/2012,45.8,99985739,121673081,73.2,2725,0,,
9/18/2012,45.9,100860388,122581832,74.0,2739,0,,
9/20/2012,45.9,101802725,123493845,74.6,2754,0,,
9/28/2012,46.1,106445203,128723502,78.0,2916,0,,
9/29/2012,46.1,106785624,129034390,78.0,2922,0,,
10/5/2012,46.1,107369248,129657252,79.0,2932,0,,
10/10/2012,46.2,110320536,132793298,81.0,2969,0,,
10/11/2012,46.2,110320536,132793298,81.0,2969,0,,
10/12/2012,46.2,110914952,133424855,81.0,2976,0,,
10/15/2012,46.2,111214024,133741177,81.0,2980,0,,
10/17/2012,46.2,111861853,134374907,82.3,2987,0,,
10/18/2012,46.2,111662512,134374907,82.0,2985,0,,
10/19/2012,46.2,111512976,134057861,82.0,2983,0,,
10/20/2012,46.2,111512976,134057861,82.0,2983,0,,
10/21/2012,46.2,111812141,134374907,82.0,2987,0,,
10/22/2012,46.4,115006894,137886328,84.5,3025,0,,
10/23/2012,46.6,121239297,144383038,89.0,3099,0,,
10/24/2012,46.7,126566224,150019181,93.0,3164,0,,
10/25/2012,46.7,126566224,150019181,93.0,3164,0,,
10/26/2012,46.7,126566224,150019181,93.0,3164,0,,
10/27/2012,46.7,126248552,149684745,93.0,3160,0,,
10/28/2012,46.7,126566224,150019181,93.0,3164,0,,
10/29/2012,46.7,126566224,150019181,93.0,3164,0,,
10/31/2012,47.1,140309483,164392642,103.0,3995,0,,
11/1/2012,47.2,143312016,167555814,105.0,4280,0,,
11/2/2012,47.3,144479560,168971087,106.0,4391,0,,
11/3/2012,47.3,146114285,170392158,107.4,4546,0,,
11/4/2012,47.3,146648096,171104866,108.0,4596,0,,
11/5/2012,47.4,147315184,171819024,108.0,4660,0,,
11/6/2012,47.3,146981648,171461764,108.0,4628,0,,
11/8/2012,47.4,147315184,171819024,108.0,4660,0,,
11/10/2012,47.4,147871232,172534632,108.7,4712,0,,
11/11/2012,47.4,147648864,172176647,108.0,4691,0,,
11/12/2012,47.4,147648864,172176647,108.0,4691,0,,
11/13/2012,47.4,147648852,172176647,108.2,4691,0,,
11/14/2012,47.3,146714781,171104866,107.8,4603,0,,
11/15/2012,47.3,145980864,170392158,107.0,4533,0,,
11/16/2012,47.3,144979952,169325812,106.0,4438,0,,
11/17/2012,47.3,144312720,168616726,106.0,4375,0,,
11/19/2012,47.2,143311952,167555814,105.0,4280,0,,
11/20/2012,47.2,142978400,167202901,105.0,4248,0,,
11/21/2012,47.2,141866304,166146337,104.0,4143,0,,
11/22/2012,47.2,141310256,165443772,104.0,4090,0,,
11/23/2012,47.2,140976704,165093033,103.0,4058,0,,
11/24/2012,47.1,138975024,162996207,102.0,3869,0,,
11/25/2012,47.1,138307920,162300163,101.0,3805,0,,
11/26/2012,47.1,137473848,161605569,101.0,3726,0,,
11/27/2012,47.0,136306240,160220727,100.0,3615,0,,
