datetime,Caudal (l/s),Totalizador (m3),Nivel Freático (m),Obra habilitada?
2016-06-15 18:00:00,5396.24,356633,18.07,Sí
2016-06-15 20:00:00,4799.53,361381,18.07,Sí
2016-06-15 21:00:00,5311.05,363645,18.07,Sí
2016-06-15 22:00:00,5371.49,365871,18.07,Sí
2017-08-25 10:00:00,0.0,0,14.8,Sí
2017-08-31 18:00:00,0.24,123,14.79,Sí
2017-09-30 12:00:00,16.3,1639,14.82,Sí
2017-10-31 17:00:00,14.4,3728,14.85,Sí
2017-11-30 17:00:00,17.8,8453,14.82,Sí
2017-12-30 12:00:00,14.4,21382,14.65,Sí
2018-01-31 17:00:00,12.2,33277,13.8,Sí
2018-02-28 17:00:00,16.5,42504,13.82,Sí
2018-03-31 12:00:00,7.0,51860,13.76,Sí
2018-04-30 17:00:00,7.9,61790,13.5,Sí
2018-05-31 17:00:00,10.0,71183,13.52,Sí
2018-06-30 12:00:00,14.1,82911,13.48,Sí
2018-07-31 17:00:00,8.1,96021,14.42,Sí
2018-08-31 17:00:00,15.0,109097,14.34,Sí
2018-09-30 12:00:00,9.0,121476,15.78,Sí
2018-10-31 17:00:00,9.7,133279,15.78,Sí
2018-11-30 17:00:00,8.5,145126,16.55,Sí
2018-12-31 12:00:00,7.8,158024,17.45,Sí
2019-01-31 17:00:00,8.0,170713,16.73,Sí
2019-02-28 17:00:00,7.2,205651,16.92,Sí
2019-03-30 12:00:00,7.2,205651,16.92,Sí
2019-04-30 17:00:00,6.8,215870,18.35,Sí
2019-05-31 12:00:00,5.5,231880,16.92,Sí
2019-06-29 12:00:00,6.5,234096,16.1,Sí
2019-06-30 12:00:00,6.5,234096,16.1,Sí
2019-07-31 13:00:00,6.0,234985,15.94,Sí
2019-07-31 17:00:00,6.0,234985,15.94,Sí
2019-08-31 16:00:00,9.3,241420,15.6,Sí
2019-09-30 14:00:00,9.0,247049,16.8,Sí
2019-10-30 14:00:00,10.1,252953,16.74,Sí
2019-11-29 16:00:00,7.1,258669,15.43,Sí
2019-12-31 12:00:00,6.5,265514,16.92,Sí
2020-01-31 08:00:00,8.6,267271,16.84,Sí
2020-02-27 11:00:00,7.1,267442,16.32,Sí
2020-03-23 13:00:00,8.2,267752,16.87,Sí
2020-04-30 12:00:00,8.3,267755,16.46,Sí
2020-05-29 17:00:00,9.1,268523,16.88,Sí
2020-06-30 19:00:00,10.2,271829,17.2,Sí
2020-07-31 15:00:00,9.6,278631,18.6,Sí
2020-08-31 17:00:00,1.91,283556,18.03,Sí
2020-09-30 15:00:00,1.91,288499,18.21,Sí
2020-10-30 14:00:00,2.1,293933,17.77,Sí
2020-11-26 14:00:00,10.3,299157,17.21,Sí
2020-12-30 12:00:00,8.4,305724,17.36,Sí
2021-01-31 10:00:00,9.2,308542,17.48,Sí
2021-02-09 04:00:00,3.1,308851,17.33,Sí
2021-03-31 13:00:00,4.2,309992,17.92,Sí
2021-04-30 14:00:00,8.1,315174,18.33,Sí
2021-05-31 19:00:00,7.3,318103,19.51,Sí
2021-06-30 17:00:00,9.2,320448,18.12,Sí
2021-07-30 12:00:00,7.1,322955,21.53,Sí
2021-08-31 23:00:00,8.9,325440,22.77,Sí
2021-09-04 01:00:00,0.0,214,28.0,Sí
2021-09-04 02:00:00,0.0,214,28.03,Sí
2021-09-04 03:00:00,0.0,214,28.09,Sí
2021-09-04 04:00:00,0.0,215,28.34,Sí
2021-09-04 05:00:00,0.0,215,29.65,Sí
2021-09-04 06:00:00,0.0,215,30.84,Sí
2021-09-04 07:00:00,0.0,215,32.06,Sí
2021-09-04 08:00:00,0.0,215,32.46,Sí
2021-09-04 09:00:00,0.0,215,31.75,Sí
2021-09-04 10:00:00,0.0,215,29.37,Sí
2021-09-04 11:00:00,0.0,215,28.09,Sí
2021-09-04 12:00:00,0.0,215,32.09,Sí
