# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-12-30 09:17:43 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08064550 Richland-Chambers Res nr Kerens, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08064550
#            TS   parameter     statistic     Description
#        133900       00054     00001     Reservoir storage, acre-feet (Maximum)
#        133901       00054     00002     Reservoir storage, acre-feet (Minimum)
#        133902       00054     00003     Reservoir storage, acre-feet (Mean)
#        133903       00054     32400     Reservoir storage, acre-feet (Observation at midnight)
#        133904       62614     00001     Lake or reservoir water surface elevation above NGVD 1929, feet (Maximum)
#        133905       62614     00002     Lake or reservoir water surface elevation above NGVD 1929, feet (Minimum)
#        133906       62614     00003     Lake or reservoir water surface elevation above NGVD 1929, feet (Mean)
#        133907       62614     32400     Lake or reservoir water surface elevation above NGVD 1929, feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	133900_00054_00001	133900_00054_00001_cd	133901_00054_00002	133901_00054_00002_cd	133902_00054_00003	133902_00054_00003_cd	133904_62614_00001	133904_62614_00001_cd	133905_62614_00002	133905_62614_00002_cd	133906_62614_00003	133906_62614_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	08064550	2010-12-30	1008000	A	1005000	A	1006000	A	312.48	A	312.41	A	312.44	A
USGS	08064550	2010-12-31	1007000	A	1004000	A	1005000	A	312.46	A	312.40	A	312.42	A
USGS	08064550	2011-01-01	1005000	A	1003000	A	1004000	A	312.41	A	312.37	A	312.39	A
USGS	08064550	2011-01-02	1004000	A	1003000	A	1003000	A	312.38	A	312.36	A	312.37	A
USGS	08064550	2011-01-03	1003000	A	1002000	A	1003000	A	312.37	A	312.34	A	312.35	A
USGS	08064550	2011-01-04	1003000	A	1002000	A	1002000	A	312.36	A	312.33	A	312.34	A
USGS	08064550	2011-01-05	1002000	A	1001000	A	1001000	A	312.35	A	312.31	A	312.33	A
USGS	08064550	2011-01-06	1002000	A	1000000	A	1001000	A	312.33	A	312.30	A	312.31	A
USGS	08064550	2011-01-07	1001000	A	999400	A	1000000	A	312.32	A	312.28	A	312.30	A
USGS	08064550	2011-01-08	999900	A	997800	A	999200	A	312.29	A	312.24	A	312.27	A
USGS	08064550	2011-01-09	1008000	A	996900	A	1003000	A	312.49	A	312.22	A	312.36	A
USGS	08064550	2011-01-10	1008000	A	1005000	A	1006000	A	312.49	A	312.42	A	312.45	A
USGS	08064550	2011-01-11	1009000	A	1007000	A	1008000	A	312.51	A	312.46	A	312.49	A
USGS	08064550	2011-01-12	1009000	A	1008000	A	1009000	A	312.52	A	312.49	A	312.50	A
USGS	08064550	2011-01-13	1010000	A	1008000	A	1009000	A	312.53	A	312.49	A	312.51	A
USGS	08064550	2011-01-14	1009000	A	1008000	A	1009000	A	312.52	A	312.49	A	312.50	A
USGS	08064550	2011-01-15	1011000	A	1008000	A	1009000	A	312.55	A	312.49	A	312.52	A
USGS	08064550	2011-01-16	1019000	A	1011000	A	1015000	A	312.76	A	312.55	A	312.66	A
USGS	08064550	2011-01-17	1027000	A	1019000	A	1023000	A	312.95	A	312.75	A	312.85	A
USGS	08064550	2011-01-18	1033000	A	1027000	A	1031000	A	313.09	A	312.95	A	313.04	A
USGS	08064550	2011-01-19	1037000	A	1033000	A	1035000	A	313.17	A	313.08	A	313.12	A
USGS	08064550	2011-01-20	1038000	A	1034000	A	1037000	A	313.21	A	313.11	A	313.17	A
USGS	08064550	2011-01-21	1039000	A	1037000	A	1038000	A	313.23	A	313.19	A	313.21	A
USGS	08064550	2011-01-22	1039000	A	1039000	A	1039000	A	313.24	A	313.22	A	313.23	A
USGS	08064550	2011-01-23	1040000	A	1037000	A	1039000	A	313.25	A	313.19	A	313.23	A
USGS	08064550	2011-01-24	1039000	A	1037000	A	1038000	A	313.23	A	313.19	A	313.21	A
USGS	08064550	2011-01-25	1039000	A	1037000	A	1038000	A	313.22	A	313.19	A	313.21	A
USGS	08064550	2011-01-26	1038000	A	1037000	A	1038000	A	313.21	A	313.19	A	313.20	A
USGS	08064550	2011-01-27	1039000	A	1037000	A	1038000	A	313.22	A	313.19	A	313.20	A
USGS	08064550	2011-01-28	1038000	A	1037000	A	1037000	A	313.20	A	313.18	A	313.19	A
USGS	08064550	2011-01-29	1038000	A	1036000	A	1037000	A	313.21	A	313.16	A	313.19	A
USGS	08064550	2011-01-30	1038000	A	1037000	A	1037000	A	313.21	A	313.17	A	313.18	A
USGS	08064550	2011-01-31	1037000	A	1035000	A	1037000	A	313.19	A	313.14	A	313.17	A
USGS	08064550	2011-02-01	1043000	A	1033000	A	1039000	A	313.33	A	313.08	A	313.22	A
USGS	08064550	2011-02-02	1039000	A	1036000	A	1037000	A	313.22	A	313.15	A	313.18	A
USGS	08064550	2011-02-03	1037000	A	1035000	A	1036000	A	313.18	A	313.13	A	313.16	A
USGS	08064550	2011-02-04	1038000	A	1036000	A	1037000	A	313.20	A	313.15	A	313.18	A
USGS	08064550	2011-02-05	1038000	A	1036000	A	1037000	A	313.20	A	313.15	A	313.17	A
USGS	08064550	2011-02-06	1037000	A	1034000	A	1036000	A	313.19	A	313.12	A	313.16	A
USGS	08064550	2011-02-07	1037000	A	1034000	A	1035000	A	313.18	A	313.12	A	313.14	A
USGS	08064550	2011-02-08	1036000	A	1034000	A	1035000	A	313.16	A	313.10	A	313.13	A
USGS	08064550	2011-02-09	1037000	A	1032000	A	1035000	A	313.19	A	313.06	A	313.12	A
USGS	08064550	2011-02-10	1034000	A	1033000	A	1034000	A	313.12	A	313.09	A	313.11	A
USGS	08064550	2011-02-11	1034000	A	1033000	A	1034000	A	313.11	A	313.09	A	313.10	A
USGS	08064550	2011-02-12	1034000	A	1033000	A	1033000	A	313.10	A	313.08	A	313.09	A
USGS	08064550	2011-02-13	1034000	A	1032000	A	1033000	A	313.12	A	313.06	A	313.09	A
USGS	08064550	2011-02-14	1033000	A	1032000	A	1032000	A	313.09	A	313.06	A	313.07	A
USGS	08064550	2011-02-15	1033000	A	1032000	A	1032000	A	313.09	A	313.05	A	313.07	A
USGS	08064550	2011-02-16	1034000	A	1032000	A	1032000	A	313.10	A	313.05	A	313.07	A
USGS	08064550	2011-02-17	1034000	A	1032000	A	1033000	A	313.10	A	313.06	A	313.08	A
USGS	08064550	2011-02-18	1034000	A	1032000	A	1033000	A	313.10	A	313.06	A	313.07	A
USGS	08064550	2011-02-19	1033000	A	1032000	A	1033000	A	313.09	A	313.06	A	313.07	A
USGS	08064550	2011-02-20	1036000	A	1032000	A	1033000	A	313.15	A	313.07	A	313.10	A
USGS	08064550	2011-02-21	1035000	A	1032000	A	1033000	A	313.14	A	313.05	A	313.09	A
USGS	08064550	2011-02-22	1033000	A	1032000	A	1032000	A	313.08	A	313.05	A	313.07	A
USGS	08064550	2011-02-23	1034000	A	1032000	A	1032000	A	313.10	A	313.06	A	313.07	A
USGS	08064550	2011-02-24	1038000	A	1031000	A	1034000	A	313.21	A	313.04	A	313.10	A
USGS	08064550	2011-02-25	1035000	A	1032000	A	1034000	A	313.13	A	313.07	A	313.10	A
USGS	08064550	2011-02-26	1034000	A	1033000	A	1033000	A	313.12	A	313.08	A	313.10	A
USGS	08064550	2011-02-27	1036000	A	1032000	A	1034000	A	313.16	A	313.07	A	313.11	A
USGS	08064550	2011-02-28	1039000	A	1032000	A	1035000	A	313.23	A	313.07	A	313.14	A
USGS	08064550	2011-03-01	1036000	A	1035000	A	1035000	A	313.15	A	313.13	A	313.14	A
USGS	08064550	2011-03-02	1036000	A	1035000	A	1035000	A	313.15	A	313.13	A	313.14	A
USGS	08064550	2011-03-03	1036000	A	1034000	A	1035000	A	313.15	A	313.11	A	313.13	A
USGS	08064550	2011-03-04	1039000	A	1032000	A	1035000	A	313.24	A	313.05	A	313.14	A
USGS	08064550	2011-03-05	1036000	A	1032000	A	1034000	A	313.15	A	313.06	A	313.10	A
USGS	08064550	2011-03-06	1034000	A	1033000	A	1033000	A	313.11	A	313.08	A	313.10	A
USGS	08064550	2011-03-07	1034000	A	1032000	A	1033000	A	313.10	A	313.05	A	313.07	A
