Time,precipitation
"Jan 1, 2015",0
"Jan 2, 2015",0
"Jan 3, 2015",0
"Jan 4, 2015",0
"Jan 5, 2015",0
"Jan 6, 2015",0
"Jan 7, 2015",0
"Jan 8, 2015",0
"Jan 9, 2015",0
"Jan 10, 2015",0
"Jan 11, 2015",0
"Jan 12, 2015",0
"Jan 13, 2015",0
"Jan 14, 2015",0
"Jan 15, 2015",0
"Jan 16, 2015",0
"Jan 17, 2015",0
"Jan 18, 2015",0
"Jan 19, 2015",0
"Jan 20, 2015",0
"Jan 21, 2015",0
"Jan 22, 2015",0
"Jan 23, 2015",0
"Jan 24, 2015",0
"Jan 25, 2015",0
"Jan 26, 2015",0
"Jan 27, 2015",0
"Jan 28, 2015",0
"Jan 29, 2015",0
"Jan 30, 2015",0
"Jan 31, 2015",0
"Feb 1, 2015",0
"Feb 2, 2015",0
"Feb 3, 2015",0
"Feb 4, 2015",0
"Feb 5, 2015",0
"Feb 6, 2015",0
"Feb 7, 2015",0
"Feb 8, 2015",0
"Feb 9, 2015",0
"Feb 10, 2015",0
"Feb 11, 2015",0
"Feb 12, 2015",0
"Feb 13, 2015",0
"Feb 14, 2015",0
"Feb 15, 2015",0
"Feb 16, 2015",0
"Feb 17, 2015",0
"Feb 18, 2015",0
"Feb 19, 2015",0
"Feb 20, 2015",0
"Feb 21, 2015",0
"Feb 22, 2015",0
"Feb 23, 2015",0
"Feb 24, 2015",0
"Feb 25, 2015",0
"Feb 26, 2015",0
"Feb 27, 2015",0
"Feb 28, 2015",0
"Mar 1, 2015",0
"Mar 2, 2015",0
"Mar 3, 2015",0
"Mar 4, 2015",0
"Mar 5, 2015",0
"Mar 6, 2015",0
"Mar 7, 2015",0
"Mar 8, 2015",0
"Mar 9, 2015",0
"Mar 10, 2015",0
"Mar 11, 2015",0
"Mar 12, 2015",0
"Mar 13, 2015",0
"Mar 14, 2015",0
"Mar 15, 2015",0
"Mar 16, 2015",0
"Mar 17, 2015",0
"Mar 18, 2015",0
"Mar 19, 2015",0
"Mar 20, 2015",0
"Mar 21, 2015",0
"Mar 22, 2015",0
"Mar 23, 2015",0
"Mar 24, 2015",0.087
"Mar 25, 2015",0
"Mar 26, 2015",0
"Mar 27, 2015",0
"Mar 28, 2015",0
"Mar 29, 2015",0
"Mar 30, 2015",0
"Mar 31, 2015",0
"Apr 1, 2015",0
"Apr 2, 2015",0
"Apr 3, 2015",0
"Apr 4, 2015",0
"Apr 5, 2015",0
"Apr 6, 2015",0
"Apr 7, 2015",0
"Apr 8, 2015",0
"Apr 9, 2015",0
"Apr 10, 2015",0
"Apr 11, 2015",0
"Apr 12, 2015",0
"Apr 13, 2015",0
"Apr 14, 2015",0
"Apr 15, 2015",0
"Apr 16, 2015",0
"Apr 17, 2015",0
"Apr 18, 2015",0
"Apr 19, 2015",0
"Apr 20, 2015",0
"Apr 21, 2015",0
"Apr 22, 2015",0
"Apr 23, 2015",0
"Apr 24, 2015",0
"Apr 25, 2015",0
"Apr 26, 2015",0
"Apr 27, 2015",0
"Apr 28, 2015",0
"Apr 29, 2015",0
"Apr 30, 2015",0
"May 1, 2015",0
"May 2, 2015",0
"May 3, 2015",0
"May 4, 2015",0
"May 5, 2015",0
"May 6, 2015",0
"May 7, 2015",0
"May 8, 2015",0
"May 9, 2015",0
"May 10, 2015",0
"May 11, 2015",0
"May 12, 2015",0
"May 13, 2015",0
"May 14, 2015",0
"May 15, 2015",0
"May 16, 2015",0
"May 17, 2015",0
"May 18, 2015",0
"May 19, 2015",0
"May 20, 2015",0
"May 21, 2015",0
"May 22, 2015",0
"May 23, 2015",0
"May 24, 2015",1.095
"May 25, 2015",1.643
"May 26, 2015",1.453
"May 27, 2015",0
"May 28, 2015",0
"May 29, 2015",0
"May 30, 2015",0
"May 31, 2015",0
"Jun 1, 2015",0
"Jun 2, 2015",0
"Jun 3, 2015",0
"Jun 4, 2015",0
"Jun 5, 2015",0
"Jun 6, 2015",0
"Jun 7, 2015",0
"Jun 8, 2015",0
"Jun 9, 2015",0
"Jun 10, 2015",0
"Jun 11, 2015",0
"Jun 12, 2015",0
"Jun 13, 2015",0
"Jun 14, 2015",0
"Jun 15, 2015",0
"Jun 16, 2015",0
"Jun 17, 2015",0
"Jun 18, 2015",0
"Jun 19, 2015",0
"Jun 20, 2015",0
"Jun 21, 2015",0
"Jun 22, 2015",0
"Jun 23, 2015",1.489
"Jun 24, 2015",0
"Jun 25, 2015",0
"Jun 26, 2015",0
"Jun 27, 2015",0
"Jun 28, 2015",0
"Jun 29, 2015",0
"Jun 30, 2015",0
"Jul 1, 2015",0
"Jul 2, 2015",0
"Jul 3, 2015",0
"Jul 4, 2015",0
"Jul 5, 2015",0
"Jul 6, 2015",0
