system:index,Ag(g/t),Al2O3(%),As(g/t),Au(g/t),B008,B009,B010,B011,B012,B013,B014,B015,B016,B017,B018,B019,B020,B021,B022,B023,B024,B025,B026,B027,B028,B029,B030,B031,B032,B033,B034,B035,B036,B037,B038,B039,B040,B041,B042,B043,B044,B045,B046,B047,B048,B049,B050,B051,B052,B053,B054,B055,B056,B057,B077,B078,B079,B080,B081,B082,B083,B084,B085,B086,B087,B088,B089,B090,B091,B092,B093,B094,B095,B096,B097,B098,B099,B100,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123,B124,B125,B126,B127,B128,B129,B130,B131,B132,B133,B134,B135,B136,B137,B138,B139,B140,B141,B142,B143,B144,B145,B146,B147,B148,B149,B150,B151,B152,B153,B154,B155,B156,B157,B158,B159,B160,B161,B162,B163,B164,B165,B166,B167,B168,B169,B170,B171,B172,B173,B174,B175,B176,B177,B178,B179,B180,B181,B182,B183,B184,B185,B186,B187,B188,B189,B190,B191,B192,B193,B194,B195,B196,B197,B198,B199,B200,B201,B202,B203,B204,B205,B206,B207,B208,B209,B210,B211,B212,B213,B214,B215,B216,B217,B218,B219,B220,B221,B222,B223,B224,Ba(g/t),Bi(g/t),CaO(%),Cd(g/t),Ce(g/t),Co(g/t),Comuna,Coord E,Coord N,Cr(g/t),Cs(g/t),Cu(g/t),Deposito,Dy(g/t),Empresa o,Er(g/t),Estado,Eu(g/t),Faena,Fe2O3(%),Gd(g/t),Hf(g/t),Hg(g/t),Ho(g/t),IDQ,K2O(%),La(g/t),Lu(g/t),MgO(%),MnO(%),Mo(g/t),Na2O(%),Nb(g/t),Nd(g/t),Ni(g/t),Origen,P2O5(%),PPC(%),Pb(g/t),Pr(g/t),Rb(g/t),Recurso,Region,S Total(%),SO3(%),SUMA(%),Sb(g/t),Sc(g/t),SiO2(%),Sm(g/t),Sn(g/t),Sr(g/t),Ta(g/t),Tb(g/t),Th(g/t),TiO2(%),Tm(g/t),U(g/t),Unnamed_ 6,V(g/t),W(g/t),Y(g/t),Yb(g/t),Zn(g/t),Zr(g/t),masa (t),.geo
00000000000000000000,4,12.32,<20,"<0,02",2330,2341,2344,2313,2399,2481,2234,2230,2200,2041,2090,2031,1991,1965,1856,1781,1753,1709,1691,1619,1532,1502,1494,1377,1376,1342,1244,1311,1397,1324,1520,1686,1597,1113,1613,1613,1531,1500,1310,1216,1306,1415,1382,1373,1349,1263,1090,912,797,819,2120,1792,877,935,886,1273,1550,1829,2062,2035,2027,2046,1940,1875,1796,1733,1711,1640,1389,1068,492,273,372,354,628,932,1023,1005,1004,993,1085,1108,1119,1089,1063,961,1087,1068,959,808,680,509,333,84,1,1,1,1,1,1,14,29,33,65,408,91,130,225,295,366,426,459,480,492,479,448,468,487,454,465,464,463,430,422,440,434,423,412,387,374,341,331,306,286,253,212,148,92,42,15,5,10,7,5,1,1,5,12,1,,1,1,3,3,12,53,77,65,18,23,74,121,106,72,87,104,124,120,137,128,123,132,136,126,112,112,108,108,114,119,109,107,105,106,91,87,87,74,70,60,71,66,49,52,50,37,66,58,435,36,17.17,<1,32.56,35,LA LIGUA,300300.0,6397246.0,21,2.23,1772,JAVITO,2.81,CIA. MINERA LA PATAGUA,1.79,ACTIVO,0.92,LA PATAGUA,6.4,3.88,3.07,"<0,01",0.71,1,2.06,14.77,0.23,2.79,0.19,<5,2.27,<5,18.61,7,MURO,0.26,12.8,56,4.45,62,COBRE,VALPARAISO,0.22,0.5600000000000001,99.83,<10,<5,42.16,3.98,30,144,1.41,0.54,4.96,0.57,0.24,2.63,,71,51,<10,1.75,90,92,,"{""type"":""Point"",""coordinates"":[-71.1266782519121,-32.54420634670392]}"
00000000000000000001,8,9.949999999999999,<20,"<0,02",2704,2714,2695,2802,2842,2993,2774,2762,2802,2648,2720,2660,2638,2581,2505,2432,2419,2331,2350,2239,2144,2118,2117,1990,2029,1982,1834,1806,1740,1509,1616,1750,1685,1145,1631,1665,1587,1536,1364,1238,1328,1453,1436,1424,1342,1302,1124,943,814,866,1828,1574,992,959,880,1342,1768,1977,2062,2011,2086,2069,2060,2047,1806,1736,1711,1609,1401,1052,444,220,348,368,674,1021,1141,1139,1151,1171,1254,1311,1312,1309,1178,1033,1181,1201,1156,992,826,612,438,112,17,12,1,1,12,19,4,23,52,119,182,132,209,387,573,705,782,830,852,869,847,772,788,816,761,751,783,809,740,741,749,719,693,678,642,610,586,543,523,509,447,357,276,172,56,16,22,17,7,6,8,6,1,1,1,1,1,1,12,13,43,115,200,162,34,49,152,249,248,164,171,237,275,298,286,284,296,307,285,263,251,247,235,224,241,256,236,227,217,206,190,187,183,167,183,161,155,146,111,113,148,124,101,105,369,16,16.52,2,34.11,30,CABILDO,304673.0,6410847.0,65,1.49,2616,LAS CENIZAS 4,2.79,MINERA LAS CENIZAS S.A,1.4,INACTIVO,0.84,LAS CENIZAS CABILDO,12.95,3.04,2.6,"<0,01",0.55,2,1.49,16.21,0.17,3.12,0.23,88,1.09,<5,15.53,32,MURO,0.19,4.47,140,4.13,31,COBRE,VALPARAISO,0.63,1.58,99.93000000000001,<10,7,47.54,2.8,<20,161,0.59,0.44,4.41,0.41,0.21,2.5,,49,<10,<10,1.45,362,67,,"{""type"":""Point"",""coordinates"":[-71.07731375636111,-32.42237050828229]}"
00000000000000000002,<1,14.45,<20,"<0,02",2852,2946,2869,3029,3123,3227,3027,2983,3002,2795,2860,2775,2741,2681,2557,2516,2496,2420,2423,2295,2208,2183,2154,2042,2082,2029,1839,1804,1704,1452,1546,1636,1570,1064,1507,1532,1455,1400,1216,1127,1176,1291,1236,1238,1167,1115,959,773,672,765,2079,1568,731,662,734,967,1172,1366,1437,1453,1543,1578,1462,1507,1448,1396,1361,1283,1149,867,350,185,269,231,396,571,652,652,596,606,736,767,706,682,722,663,689,666,620,520,411,286,206,52,1,1,7,,1,1,22,37,8,28,84,68,105,168,201,240,308,327,318,336,338,304,302,318,294,298,309,310,290,302,305,309,274,276,255,239,232,214,203,194,168,134,85,47,23,11,16,12,4,13,,1,3,1,,1,,,16,25,10,37,62,58,8,3,61,102,79,50,60,80,92,93,95,97,92,94,95,90,104,96,75,75,74,74,81,78,74,71,69,71,64,57,59,48,60,61,54,63,33,22,36,57,741,11,7.64,1,24.48,34,CABILDO,304320.0,6410566.0,55,1.69,814,LAS CENIZAS 4,3.12,MINERA LAS CENIZAS S.A,1.61,INACTIVO,0.73,LAS CENIZAS CABILDO,7.11,3.14,2,"<0,01",0.58,3,3.31,11.2,0.23,5.42,0.2,<5,2.7,5,13.94,16,CUBETA,0.18,3.65,35,3.34,76,COBRE,VALPARAISO,0.26,0.66,99.95,<10,<5,53.88,3.27,52,210,0.6899999999999999,0.46,3.25,0.53,0.25,1.16,,86,<10,<10,1.46,184,78,16500000,"{""type"":""Point"",""coordinates"":[-71.08112323970988,-32.424841441122446]}"
00000000000000000003,6,8.59,<20,"<0,02",2163,2096,2058,2073,2068,2103,1918,1849,1824,1692,1690,1668,1658,1631,1526,1462,1452,1407,1394,1354,1296,1265,1261,1163,1189,1160,1085,1214,1521,1564,1921,2276,2281,1578,2307,2423,2293,2271,2037,1894,2022,2262,2297,2269,2242,2152,1851,1510,1305,1368,3075,2715,1397,1419,1350,2042,2883,3404,3608,3549,3625,3632,3485,3427,3375,3302,3308,3156,2772,2117,931,451,655,693,1124,1674,1868,1828,1785,1799,1999,2108,2145,2118,2057,1805,2008,2079,1878,1571,1303,894,630,166,1,1,9,4,2,2,8,28,34,79,169,138,172,320,500,608,702,747,797,816,784,727,709,759,725,737,795,793,760,746,747,716,684,654,619,570,504,480,446,436,403,323,252,158,53,11,16,15,1,1,2,,1,1,5,8,1,1,8,7,33,87,136,114,12,19,110,173,140,90,114,142,158,165,172,171,182,180,182,170,165,167,137,136,150,158,146,133,133,120,116,106,84,75,82,73,74,65,55,52,44,31,43,56,315,42,21.36,1,33.87,30,CABILDO,304273.0,6409646.0,36,0.48,528,LAS CENIZAS 2,2.35,MINERA LAS CENIZAS S.A,1.55,INACTIVO,0.78,LAS CENIZAS CABILDO,14.3,2.79,2.6,"<0,01",0.49,4,0.8100000000000001,17.67,0.13,3.15,0.28,9,0.17,12,15.1,49,CUBETA,0.25,3.88,94,4.11,17,COBRE,VALPARAISO,1.36,3.41,99.47,<10,<5,42.79,2.88,<20,110,2.06,0.41,4.03,0.34,0.19,3.41,,32,55,<10,1.2,84,56,858000,"{""type"":""Point"",""coordinates"":[-71.08181516616068,-32.433129847740105]}"
00000000000000000004,<1,14.56,<20,"<0,02",2399,2297,2308,2273,2344,2417,2239,2209,2226,2127,2196,2194,2235,2270,2260,2280,2366,2404,2470,2422,2411,2430,2473,2376,2514,2521,2378,2410,2499,2244,2521,2834,2786,1895,2734,2851,2720,2665,2380,2184,2370,2581,2568,2555,2471,2364,2057,1683,1522,1493,3926,3417,1438,1516,1846,2628,3330,3867,4178,4141,4164,4146,3877,3787,3814,3669,3516,3358,2984,2292,991,550,805,826,1398,2080,2231,2213,2232,2199,2421,2552,2527,2482,2285,1985,2206,2242,2085,1785,1499,1104,796,230,1,1,4,5,18,25,10,51,60,160,354,260,371,645,945,1098,1223,1296,1361,1395,1328,1211,1216,1244,1183,1165,1238,1264,1177,1162,1151,1104,1095,1063,1012,944,913,850,781,747,695,575,425,278,96,16,5,2,2,3,7,16,1,1,3,3,2,7,17,27,82,219,340,281,67,93,279,427,381,249,276,346,401,419,450,447,444,447,445,422,377,372,362,348,342,363,354,336,323,309,299,296,277,253,266,244,228,218,171,184,203,178,128,157,619,43,9.85,<1,28.99,32,CABILDO,303730.0,6405805.0,52,1.95,627,N PASTA (DEP),3.34,MINERA LAS CENIZAS S.A,1.88,ACTIVO,1.01,LAS CENIZAS CABILDO,8.74,3.67,2.13,"<0,01",0.71,5,2.22,13.12,0.19,5.52,0.26,<5,2.61,7,17.09,10,PASTA,0.23,6.86,37,4.01,63,COBRE,VALPARAISO,0.09,0.21,99.38,<10,7,47.49,4.22,<20,189,1.37,0.54,3.28,0.64,0.26,1.41,,104,53,<10,1.43,90,83,8780000,"{""type"":""Point"",""coordinates"":[-71.08838678123351,-32.46766173768612]}"
00000000000000000005,<1,12.23,<20,"<0,02",3385,3430,3516,3663,3729,3992,3769,3805,3888,3707,3832,3841,3843,3868,3782,3707,3751,3663,3759,3581,3486,3405,3424,3205,3299,3266,3048,2919,2962,2608,2787,3100,3091,2053,2875,3044,2897,2808,2530,2253,2410,2633,2623,2583,2511,2385,2086,1674,1547,1498,3495,3164,1442,1503,1671,2533,3140,3612,4044,3936,3904,3863,3679,3556,3557,3436,3306,3126,2704,2089,1012,567,733,728,1263,1880,2120,2065,2073,2049,2249,2394,2411,2339,2151,1916,2092,2166,1973,1704,1415,1035,755,206,1,1,1,1,3,6,45,84,83,184,348,256,391,673,961,1136,1242,1345,1418,1435,1436,1283,1234,1310,1248,1238,1279,1282,1209,1209,1197,1197,1153,1137,1082,1020,982,893,852,822,744,598,440,275,104,33,17,14,1,1,10,8,2,2,1,1,1,1,28,38,100,242,352,275,73,93,280,444,417,276,292,376,476,502,483,481,498,513,482,449,434,443,405,386,371,397,386,373,355,337,320,311,307,283,299,259,271,252,193,208,196,169,119,115,1320,52,6.88,1,19.58,31,CABILDO,305629.0,6410687.0,20,1.35,598,EL ESCORIAL 2,1.46,JORGE WENKE,0.66,INACTIVO,0.46,EL ESCORIAL,9.539999999999999,2.29,1.6,"<0,01",0.32,6,2.9,8.5,0.13,1.83,0.23,<5,0.03,13,11.39,<5,CUBETA,0.14,8.109999999999999,36,2.74,58,COBRE-PLATA-ORO,VALPARAISO,"<0,01","<0,01",99.68000000000001,<10,<5,57.18,2.22,<20,42,0.59,0.33,1.62,0.39,0.11,0.57,,63,21,<10,0.58,148,67,120000,"{""type"":""Point"",""coordinates"":[-71.06718493179255,-32.423983162036365]}"
00000000000000000006,<1,15.84,<20,"<0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817,50,0.7,1,23.09,35,TIL TIL,333350.0,6341810.0,33,3.76,235,OVEJERIA,0.99,CODELCO,0.53,ACTIVO,0.5600000000000001,ANDINA,4.52,1.34,0.73,"<0,01",0.18,7,5.47,11.82,0.04,1.6,0.1,71,1.38,<5,9.76,15,CUBETA,0.18,2.65,<5,2.7,125,COBRE,METROPOLITANA,0.2,0.49,100.07,<10,7,66.56,1.89,22,109,1.27,0.17,14,0.4,0.04,4.01,,58,70,<10,0.44,142,125,1930000000,"{""type"":""Point"",""coordinates"":[-70.78483577426657,-33.04949656643552]}"
00000000000000000007,<1,16.87,<20,"<0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,47,0.62,<1,24.05,35,TIL TIL,333350.0,6341810.0,52,4.58,199,OVEJERIA,0.89,CODELCO,0.53,ACTIVO,0.59,ANDINA,4.84,1.49,0.59,"<0,01",0.15,8,5.74,12.41,0.06,1.57,0.1,41,1.39,<5,10.23,16,CUBETA,0.14,2.92,<5,2.87,132,COBRE,METROPOLITANA,0.21,0.52,99.73,<10,6,64.45,2.18,20,108,0.8,0.19,9.18,0.41,0.05,3.37,,59,67,<10,0.37,155,126,1930000000,"{""type"":""Point"",""coordinates"":[-70.78483577426657,-33.04949656643552]}"
00000000000000000008,<1,16.19,<20,"<0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,46,0.7,1,22.26,34,TIL TIL,331927.0,6341294.0,69,3.72,366,OVEJERIA,0.86,CODELCO,0.39,ACTIVO,0.49,ANDINA,5.86,1.35,0.5,"<0,01",0.18,9,4.63,11.49,0.03,1.49,0.08,80,1.55,<5,9.58,14,MURO,0.13,3.69,<5,2.61,102,COBRE,METROPOLITANA,0.5600000000000001,1.4,99.75,<10,8,63.46,1.73,<20,117,1.06,0.16,8.699999999999999,0.4,0.07000000000000001,2.67,,59,80,<10,0.38,111,150,,"{""type"":""Point"",""coordinates"":[-70.80016584404427,-33.05392744776104]}"
00000000000000000009,<1,12.24,<20,"<0,02",2333,2331,2314,2327,2356,2432,2247,2210,2199,2028,2076,2012,1969,1927,1827,1764,1754,1669,1701,1624,1533,1503,1492,1394,1386,1356,1272,1328,1393,1309,1512,1653,1590,1090,1598,1627,1540,1510,1326,1271,1318,1442,1407,1402,1347,1277,1060,873,1046,821,1983,1697,986,1084,973,1455,1782,2070,2169,2172,2232,2271,2267,2228,2014,1925,1964,1857,1575,1220,548,294,427,433,744,1056,1160,1162,1165,1153,1273,1363,1335,1306,1211,1104,1217,1238,1157,985,847,616,391,85,1,1,3,2,1,,20,41,40,74,127,90,132,230,350,425,493,522,540,559,579,536,515,540,525,531,554,562,527,519,511,502,482,465,433,405,389,355,342,323,290,237,179,118,32,23,11,21,4,1,5,,1,1,1,1,1,1,11,14,22,59,104,86,22,32,87,129,125,80,90,112,146,153,133,139,138,146,129,124,143,141,142,139,128,132,123,120,112,109,108,111,94,85,84,76,82,72,52,61,43,18,86,115,306,40,18.67,<1,29.26,36,LA LIGUA,300500.0,6397027.0,13,1.89,1821,JAVITO,2.77,CIA. MINERA LA PATAGUA,1.71,ACTIVO,0.76,LA PATAGUA,5.72,3.61,3.54,"<0,01",0.5600000000000001,10,1.9,13.37,0.19,2.54,0.19,<5,2.2,<5,16.83,6,CUBETA,0.26,12.72,54,4,57,COBRE,VALPARAISO,0.35,0.88,99.8,<10,<5,41.69,3.82,<20,135,1.06,0.52,4.86,0.54,0.28,2.87,,62,70,<10,1.69,56,96,2825285,"{""type"":""Point"",""coordinates"":[-71.12459578673987,-32.54622022227505]}"
