system:index,AREA,BEGAN,COUNTRY,DEAD,DISPLACED,ENDED,GLIDENUMBE,ID,LAT,LONG,MAINCAUSE,MAINCAUSEF,OTHERCOUNT,SEVERITY,VALIDATION,.geo
000000000000000003c0,55713.89769,7/22/2008,Ukraine,40,172000,7/30/2008,0,3337,48.171674,24.387496,heavy rain,Heavy rain,,2.0,News,"{""type"":""Point"",""coordinates"":[24.387496985554577,48.17167313947688]}"
000000000000000005c9,554605.2536,6/3/2014,Paraguay,9,265000,7/14/2014,,4150,-24.354116,-53.547014,Heay Rain,Heavy rain,Brazil,2.0,News,"{""type"":""Point"",""coordinates"":[-53.5470124409806,-24.354116155068482]}"
000000000000000005cd,73811.61453,9/17/2009,Ghana,0,5000,9/21/2009,0,3542,8.85094,-0.992335,"Heavy Rain, Dam Release",Heavy rain,0,2.0,0,"{""type"":""Point"",""coordinates"":[-0.992332807534899,8.850941026601578]}"
000000000000000005fa,6023.194837,10/2/2015,Guatamala,500,433,10/3/2015,,4297,14.826244,-90.612773,Landslide,Landslide or avalanche,,2.0,News,"{""type"":""Point"",""coordinates"":[-90.61277269202726,14.826243456644342]}"
000000000000000007b5,323846.8385,3/11/2010,Kazakhstan,43,5000,3/26/2010,FL-2010-000051-KAZ,3624,45.079147,79.212716,Heavy Rain Snowmelt Dam B,Rain/heavy rain and snowmelt,0,2.0,0,"{""type"":""Point"",""coordinates"":[79.21271520260649,45.0791483267795]}"
00000000000000000800,51279.59516,12/5/2013,United Kingdom,8,4000,12/8/2013,,4106,53.443057,7.53306,Storm Surge,Tidal/storm surge,Germany,2.0,News,"{""type"":""Point"",""coordinates"":[7.5330581693567025,53.44305741812162]}"
00000000000000000ae4,68697.08778,5/18/2010,Guatamala,172,94000,5/24/2010,TC-2010-000105-GTM,3653,14.075249,-89.563601,Tropical Cyclone Agatha,Tropical cyclone,,2.0,0,"{""type"":""Point"",""coordinates"":[-89.56359972336409,14.075250575425091]}"
00000000000000000aec,96385.80031,10/19/2008,Honduras,110,320000,11/12/2008,0,3397,15.851885,-89.286868,Tropical Depressions,Tropical cyclone,,2.0,News,"{""type"":""Point"",""coordinates"":[-89.28686791198724,15.851885749048478]}"
00000000000000000b1f,50044.62467,8/9/2008,Viet Nam,100,0,8/11/2008,FL-2008-000128-VNM,3355,22.050676,105.21214,Tropical Storm Kammuri,Tropical cyclone,0,2.0,News,"{""type"":""Point"",""coordinates"":[105.21214154617334,22.050673864788887]}"
00000000000000000b21,49034.15573,9/28/2009,Viet Nam,182,357000,10/1/2009,TC-2009-000205-VNM,3548,14.902779,107.981558,Tropical storm Ketsana,Tropical cyclone,,2.0,0,"{""type"":""Point"",""coordinates"":[107.98155989653802,14.902779467125683]}"
00000000000000000b3d,158124.4382,10/24/2012,Viet Nam,30,260000,10/29/2012,TC-2012-000181-VNM;TC-2012-000179-P,4000,19.056471,105.503642,Tropical Storm Son-Tinh,Tropical cyclone,Philippines,2.0,News,"{""type"":""Point"",""coordinates"":[105.50364190023919,19.05647223032]}"
00000000000000000b44,13466.62488,8/10/2011,Cambodia,264,280000,11/15/2011,FL-2011-00071-VNM,3853,12.004283,105.501152,"Tropical Storm, Monsoonal Rain",Tropical cyclone,Viet Nam,2.0,News,"{""type"":""Point"",""coordinates"":[105.50115372185138,12.0042835185669]}"
00000000000000000b55,207343.4543,9/29/2009,American Samoa,100,0,9/29/2009,TS-2009-000209-ASM,3549,-13.835817,-173.454396,Tsunami,Tsunami,,2.0,0,"{""type"":""Point"",""coordinates"":[-173.45439797305013,-13.835819144360315]}"
000000000000000003c1,163705.5457,7/30/2008,USA,0,0,8/11/2008,0,3340,64.276859,-151.020483,heavy rain,Heavy rain,0,2.0,News,"{""type"":""Point"",""coordinates"":[-151.02048220912178,64.27685812386635]}"
000000000000000005d3,46208.31987,4/1/2010,USA,5,3600,5/24/2011,,3799,48.678802,-97.21921,Heavy Rain and Snowmelt,Rain/heavy rain and snowmelt,Canada,2.0,News,"{""type"":""Point"",""coordinates"":[-97.21921182607372,48.67880224318423]}"
000000000000000005d5,171530.7433,5/22/2011,USA,1,1100,6/21/2011,,3813,45.297108,-105.665689,Heavy Rain and Snowmelt,Rain/heavy rain and snowmelt,,2.0,News,"{""type"":""Point"",""coordinates"":[-105.66569009162248,45.297109186271946]}"
0000000000000000060a,100404.0391,9/12/2013,USA,10,11000,9/20/2013,,4089,38.002447,-105.143392,Monsoon Rain,Monsoonal rain,,2.0,News,"{""type"":""Point"",""coordinates"":[-105.14339112613132,38.00244793653561]}"
000000000000000007b1,44401.17466,3/24/2009,USA,0,5000,4/20/2009,FF-2009-000069-IDN,3465,-1.20654,100.730585,Snowmelt and Heavy Rain,Rain/heavy rain and snowmelt,,2.0,News,"{""type"":""Point"",""coordinates"":[100.7305844598223,-1.2065391039403324]}"
00000000000000000b01,67994.98182,6/22/2012,USA,3,17000,7/2/2012,,3938,28.963531,-82.495783,Tropical Storm Debby,Tropical cyclone,,2.0,News,"{""type"":""Point"",""coordinates"":[-82.49578186241867,28.963529045924968]}"
00000000000000000b08,98478.88525,8/20/2008,USA,12,400,8/28/2008,FF-2008-000141-ETH,3366,29.657004,-82.858657,Tropical Storm Fay,Tropical cyclone,0,2.0,News,"{""type"":""Point"",""coordinates"":[-82.85865904704704,29.657003982655823]}"
00000000000000000b17,252912.8851,8/27/2011,USA,20,370000,9/13/2011,,3861,40.186216,-74.062065,Tropical Storm Irene,Tropical cyclone,,2.0,News,"{""type"":""Point"",""coordinates"":[-74.06206554408486,40.18621687274281]}"
00000000000000000b2b,138622.3374,10/5/2016,USA,920,6000,10/16/2016,,4402,33.031574,-80.894852,Tropical Storm Matthew,Tropical cyclone,Haiti,2.0,News,"{""type"":""Point"",""coordinates"":[-80.89485310670526,33.03157585518575]}"
00000000000000000b3a,293995.0573,10/24/2012,USA,65,0,10/29/2012,TC-2012-000180-CUB; TC-2012-000180-,3997,39.923119,-75.228018,Tropical Storm Sandy,Tropical cyclone,Haiti,2.0,News,"{""type"":""Point"",""coordinates"":[-75.22801791023672,39.92312099238741]}"
00000000000000000b4d,61355.2348,10/1/2015,USA,15,800,10/13/2015,,4295,33.503329,-80.492683,"Heavy Rain, Tropical Storm Joaquin",Tropical cyclone,,2.0,News,"{""type"":""Point"",""coordinates"":[-80.49268232359393,33.5033309102361]}"
000000000000000005cc,1430155.557,8/7/2013,China,100,260000,10/14/2013,,4083,50.532277,130.272429,"Heavy Rain, began with #4079",Heavy rain,Russia,2.0,News,"{""type"":""Point"",""coordinates"":[130.27242769867183,50.53227664616058]}"
00000000000000000b0b,533930.1507,7/28/2008,China,0,93000,8/8/2008,0,3345,32.555928,114.4146,Tropical Storm Fung-Wong,Tropical cyclone,0,2.0,News,"{""type"":""Point"",""coordinates"":[114.4145979679191,32.55592800491573]}"
