,SampleSiteCode,SampleID,Soil Wet Weight (g),Soil Dry Weight (g),Lab #,SiteID,"Whole sample wt, g",">2mm portion wt, g",SAND,SILT,CLAY,IGSN,Top sample depth_cm,Bottom sample depth_cm,Collection date,BD_tot g/cm3,"<2mm portion wt, g",BD_2mm g/cm3,BD_wet g/cm3,water content %vol,mineral density g/cm3,sand density g/cm3,silt density g/cm3,clay density g/cm3
0,001-ER18,001-ER18-SBD,79.69,69.26,91781.0,1.0,70.41,11.83,34.8,42.3,22.9,IER18012L,2.5,7.5,6/14/18,0.76,57.43,0.63,0.88,11.51,0.7,0.2,0.24,0.13
1,002-ER18,002-ER18-SBD,113.05,97.91,91782.0,2.0,99.07,22.08,36.4,39.5,24.1,IER18012M,2.5,7.5,6/14/18,1.08,75.83,0.84,1.25,16.71,1.02,0.28,0.31,0.19
2,003-ER18,003-ER18-SBD,106.93,92.86,91556.0,3.0,93.91,26.21,32.2,41.0,26.8,IER18012N,2.5,7.5,6/14/18,1.03,66.65,0.74,1.18,15.53,0.95,0.21,0.27,0.18
3,004-ER18,004-ER18-SBD,100.34,83.33,91783.0,4.0,84.74,2.22,29.9,40.9,29.2,IER18012P,2.5,7.5,6/14/18,0.92,81.11,0.9,1.11,18.78,0.84,0.24,0.33,0.24
4,005-ER18,005-ER18-SBD,115.94,97.82,91784.0,5.0,99.35,11.43,35.1,38.2,26.7,IER18012Q,2.5,7.5,6/14/18,1.08,86.39,0.95,1.28,20.0,1.01,0.31,0.34,0.23
5,006-ER18,006-ER18-SBD,98.85,87.14,91785.0,6.0,88.28,13.49,26.2,42.0,31.8,IER18012R,2.5,7.5,6/14/18,0.96,73.65,0.81,1.09,12.93,0.9,0.2,0.31,0.24
6,007-ER18,007-ER18-SBD,94.14,78.2,91786.0,7.0,75.78,10.7,21.1,49.6,29.3,IER18012S,2.5,7.5,6/14/18,0.86,67.5,0.75,1.04,17.6,0.79,0.14,0.34,0.2
7,008-ER18,008-ER18-SBD,109.31,93.57,91557.0,8.0,94.8,12.68,26.2,39.4,34.4,IER18012U,2.5,7.5,6/14/18,1.03,80.89,0.89,1.21,17.37,0.96,0.22,0.32,0.28
8,009-ER18,009-ER18-SBD,120.74,98.42,91558.0,9.0,99.64,12.08,9.5,54.7,35.8,IER18012X,2.5,7.5,6/14/18,1.09,86.34,0.95,1.33,24.64,1.01,0.08,0.48,0.31
9,010-ER18,010-ER18-SBD,124.48,110.52,91559.0,10.0,112.02,10.34,13.1,48.5,38.4,IER18012Y,2.5,7.5,6/15/18,1.22,100.18,1.11,1.37,15.41,1.15,0.14,0.5,0.4
10,011-ER18,011-ER18-SBD,110.98,94.08,91880.0,11.0,95.94,6.05,14.5,44.7,40.8,IER18012Z,2.5,7.5,6/15/18,1.04,88.03,0.97,1.23,18.66,0.95,0.13,0.4,0.36
11,012-ER18,012-ER18-SBD,93.61,80.99,91881.0,12.0,82.57,4.96,19.6,40.8,39.6,IER180131,2.5,7.5,6/15/18,0.89,76.03,0.84,1.03,13.93,0.82,0.15,0.31,0.3
12,013-ER18,013-ER18-SBD,116.25,101.62,91560.0,13.0,103.23,18.58,12.9,43.6,43.5,IER180133,2.5,7.5,6/15/18,1.12,83.04,0.92,1.28,16.15,1.05,0.11,0.37,0.37
13,014-ER18,014-ER18-SBD,87.91,74.51,91882.0,14.0,76.38,6.15,19.2,41.1,39.8,IER180135,2.5,7.5,6/15/18,0.82,68.36,0.75,0.97,14.79,0.72,0.12,0.27,0.26
14,015-ER18,015-ER18-SBD,109.44,96.16,91883.0,15.0,97.89,21.17,14.4,43.5,42.2,IER180137,2.5,7.5,6/15/18,1.06,74.99,0.83,1.21,14.66,1.0,0.11,0.33,0.32
15,016-ER18,016-ER18-SBD,107.34,97.48,91884.0,16.0,97.48,13.14,19.8,42.0,38.2,IER180138,2.5,7.5,6/15/18,1.08,84.34,0.93,1.18,10.88,1.01,0.17,0.37,0.33
