# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2025-03-23 17:34:41 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08109900 Somerville Lk nr Somerville, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08109900
#            TS   parameter     statistic     Description
#        135358       62614     00001     Lake or reservoir water surface elevation above NGVD 1929, feet (Maximum)
#        135359       62614     00002     Lake or reservoir water surface elevation above NGVD 1929, feet (Minimum)
#        135360       62614     00003     Lake or reservoir water surface elevation above NGVD 1929, feet (Mean)
#        135361       62614     32400     Lake or reservoir water surface elevation above NGVD 1929, feet (Observation at midnight)
#        135362       00054     00001     Reservoir storage, acre-feet (Maximum)
#        135363       00054     00002     Reservoir storage, acre-feet (Minimum)
#        135364       00054     00003     Reservoir storage, acre-feet (Mean)
#        135365       00054     32400     Reservoir storage, acre-feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	135358_62614_00001	135358_62614_00001_cd	135359_62614_00002	135359_62614_00002_cd	135360_62614_00003	135360_62614_00003_cd	135361_62614_32400	135361_62614_32400_cd	135362_00054_00001	135362_00054_00001_cd	135363_00054_00002	135363_00054_00002_cd	135364_00054_00003	135364_00054_00003_cd	135365_00054_32400	135365_00054_32400_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	08109900	1996-03-22							238.10	A							161700	A
USGS	08109900	1996-03-23							238.11	A							161600	A
USGS	08109900	1996-03-24							238.11	A							161800	A
USGS	08109900	1996-03-25							238.12	A							161500	A
USGS	08109900	1996-03-26							238.09	A							161500	A
USGS	08109900	1996-03-27							238.13	A							161800	A
USGS	08109900	1996-03-28							238.12	A							161700	A
USGS	08109900	1996-03-29							238.12	A							161800	A
USGS	08109900	1996-03-30							238.15	A							162200	A
USGS	08109900	1996-03-31							238.15	A							162100	A
USGS	08109900	1996-04-01							238.14	A							162000	A
USGS	08109900	1996-04-02							238.13	A							161800	A
USGS	08109900	1996-04-03							238.13	A							162000	A
USGS	08109900	1996-04-04							238.14	A							162000	A
USGS	08109900	1996-04-05							238.23	A							162600	A
USGS	08109900	1996-04-06							238.19	A							162600	A
USGS	08109900	1996-04-07							238.20	A							162800	A
USGS	08109900	1996-04-08							238.20	A							162800	A
USGS	08109900	1996-04-09							238.21	A							162800	A
USGS	08109900	1996-04-10							238.20	A							162800	A
USGS	08109900	1996-04-11							238.21	A							162900	A
USGS	08109900	1996-04-12							238.24	A							163100	A
USGS	08109900	1996-04-13							238.23	A							163100	A
USGS	08109900	1996-04-14							238.23	A							163100	A
USGS	08109900	1996-04-15							238.20	A							162600	A
USGS	08109900	1996-04-16							238.18	A							162400	A
USGS	08109900	1996-04-17							238.17	A							162400	A
USGS	08109900	1996-04-18							238.18	A							162400	A
USGS	08109900	1996-04-19							238.20	A							162500	A
USGS	08109900	1996-04-20							238.17	A							162400	A
USGS	08109900	1996-04-21							238.16	A							162300	A
USGS	08109900	1996-04-22							238.28	A							163700	A
USGS	08109900	1996-04-23							238.26	A							163300	A
USGS	08109900	1996-04-24							238.22	A							163000	A
USGS	08109900	1996-04-25							238.19	A							162500	A
USGS	08109900	1996-04-26							238.17	A							162400	A
USGS	08109900	1996-04-27							238.15	A							162200	A
USGS	08109900	1996-04-28							238.15	A							162300	A
USGS	08109900	1996-04-29							238.33	A							164300	A
USGS	08109900	1996-04-30							238.29	A							163800	A
USGS	08109900	1996-05-01							238.26	A							163300	A
USGS	08109900	1996-05-02							238.23	A							163000	A
